 time            v(in)           v(out)         
 8.11500000e-09  9.00000000e-01  8.09604576e-01 
 8.12500000e-09  9.00000000e-01  8.26403212e-01 
 8.13500000e-09  9.00000000e-01  8.41467386e-01 
 8.14500000e-09  9.00000000e-01  8.54970966e-01 
 8.15500000e-09  9.00000000e-01  8.67089849e-01 
 8.16500000e-09  9.00000000e-01  8.77960046e-01 
 8.17500000e-09  9.00000000e-01  8.87720943e-01 
 8.18500000e-09  9.00000000e-01  8.96479752e-01 
 8.19500000e-09  9.00000000e-01  9.04347795e-01 
 8.20500000e-09  9.00000000e-01  9.11409983e-01 
 8.21500000e-09  9.00000000e-01  9.17755752e-01 
 8.22500000e-09  9.00000000e-01  9.23452530e-01 
 8.23500000e-09  9.00000000e-01  9.28572506e-01 
 8.24500000e-09  9.00000000e-01  9.33169279e-01 
 8.25500000e-09  9.00000000e-01  9.37301342e-01 
 8.26500000e-09  9.00000000e-01  9.41011289e-01 
 8.27500000e-09  9.00000000e-01  9.44346680e-01 
 8.28500000e-09  9.00000000e-01  9.47341317e-01 
 8.29500000e-09  9.00000000e-01  9.50033992e-01 
 8.30500000e-09  9.00000000e-01  9.52451467e-01 
 8.31500000e-09  9.00000000e-01  9.54625483e-01 
 8.32500000e-09  9.00000000e-01  9.56577157e-01 
 8.33500000e-09  9.00000000e-01  9.58332542e-01 
 8.34500000e-09  9.00000000e-01  9.59908227e-01 
 8.35500000e-09  9.00000000e-01  9.61325673e-01 
 8.36500000e-09  9.00000000e-01  9.62597833e-01 
 8.37500000e-09  9.00000000e-01  9.63742449e-01 
 8.38500000e-09  9.00000000e-01  9.64769565e-01 
 8.39500000e-09  9.00000000e-01  9.65693900e-01 
 8.40500000e-09  9.00000000e-01  9.66523169e-01 
 8.41500000e-09  9.00000000e-01  9.67269646e-01 
 8.42500000e-09  9.00000000e-01  9.67939173e-01 
 8.43500000e-09  9.00000000e-01  9.68542037e-01 
 8.44500000e-09  9.00000000e-01  9.69082584e-01 
 8.45500000e-09  9.00000000e-01  9.69569482e-01 
 8.46500000e-09  9.00000000e-01  9.70005887e-01 
 8.47500000e-09  9.00000000e-01  9.70399141e-01 
 8.48500000e-09  9.00000000e-01  9.70751457e-01 
 8.49500000e-09  9.00000000e-01  9.71069093e-01 
 8.50500000e-09  9.00000000e-01  9.71353511e-01 
 8.51500000e-09  9.00000000e-01  9.71610081e-01 
 8.52500000e-09  9.00000000e-01  9.71839676e-01 
 8.53500000e-09  9.00000000e-01  9.72046933e-01 
 8.54500000e-09  9.00000000e-01  9.72232261e-01 
 8.55500000e-09  9.00000000e-01  9.72399695e-01 
 8.56500000e-09  9.00000000e-01  9.72549280e-01 
 8.57500000e-09  9.00000000e-01  9.72684553e-01 
 8.58500000e-09  9.00000000e-01  9.72805279e-01 
 8.59500000e-09  9.00000000e-01  9.72914578e-01 
 8.60500000e-09  9.00000000e-01  9.73012003e-01 
 8.61500000e-09  9.00000000e-01  9.73100326e-01 
 8.62500000e-09  9.00000000e-01  9.73178937e-01 
 8.63500000e-09  9.00000000e-01  9.73250319e-01 
 8.64500000e-09  9.00000000e-01  9.73313740e-01 
 8.65500000e-09  9.00000000e-01  9.73371440e-01 
 8.66500000e-09  9.00000000e-01  9.73422597e-01 
 8.67500000e-09  9.00000000e-01  9.73469245e-01 
 8.68500000e-09  9.00000000e-01  9.73510503e-01 
 8.69500000e-09  9.00000000e-01  9.73548224e-01 
 8.70500000e-09  9.00000000e-01  9.73581489e-01 
 8.71500000e-09  9.00000000e-01  9.73612000e-01 
 8.72500000e-09  9.00000000e-01  9.73638812e-01 
 8.73500000e-09  9.00000000e-01  9.73663499e-01 
 8.74500000e-09  9.00000000e-01  9.73685103e-01 
 8.75500000e-09  9.00000000e-01  9.73705085e-01 
 8.76500000e-09  9.00000000e-01  9.73722484e-01 
 8.77500000e-09  9.00000000e-01  9.73738665e-01 
 8.78500000e-09  9.00000000e-01  9.73752671e-01 
 8.79500000e-09  9.00000000e-01  9.73765781e-01 
 8.80500000e-09  9.00000000e-01  9.73777049e-01 
 8.81500000e-09  9.00000000e-01  9.73787677e-01 
 8.82500000e-09  9.00000000e-01  9.73796735e-01 
 8.83500000e-09  9.00000000e-01  9.73805357e-01 
 8.84500000e-09  9.00000000e-01  9.73812632e-01 
 8.85500000e-09  9.00000000e-01  9.73819634e-01 
 8.86500000e-09  9.00000000e-01  9.73825471e-01 
 8.87500000e-09  9.00000000e-01  9.73831162e-01 
 8.88500000e-09  9.00000000e-01  9.73835838e-01 
 8.89500000e-09  9.00000000e-01  9.73840470e-01 
 8.90500000e-09  9.00000000e-01  9.73844211e-01 
 8.91500000e-09  9.00000000e-01  9.73847986e-01 
